,title,year,journal
1256,Complementarities and Substitutabilities Among Knowledge Sourcing Strategies and Their Impact on Firm Performance,2012,Journal of the Association for Information Systems
1257,Contribution to Quality of Life - A New Outcome Variable for Mobile Data Service,2007,Journal of the Association for Information Systems
1260,Implementing Service-Oriented Architecture in Organizations,2010,Journal of Management Information Systems
1262,Love at First Sight - The Interplay Between Privacy Dispositions and Privacy Calculus in Online Social Connectivity Management,2018,Journal of the Association for Information Systems
1263,Business on Chain - A Comparative Case Study of Five Blockchain-Inspired Business Models,2019,Journal of the Association for Information Systems
1264,CABSYDD - Case-Based System for Database Design,2004,Journal of Management Information Systems
1266,A Hybrid Attribute Selection Approach for Text Classification,2010,Journal of the Association for Information Systems
1268,Comparison of Software Quality Under Perpetual Licensing and Software as a Service,2007,Journal of Management Information Systems
1271,The Impact of Cloud Computing - Should the IT Department Be Organized as a Cost Center or a Profit Center?,2013,Journal of Management Information Systems
1278,Proprietary versus internet technologies and the adoption and impact of electronic marketplaces,2004,The Journal of Strategic Information Systems
1283,Client strategies in vendor transition: A threat balancing perspective,2012,The Journal of Strategic Information Systems
1290,A Visual Framework for Knowledge Discovery on the Web - An Empirical Study of Business Intelligence Exploration,2005,Journal of Management Information Systems
1291,Data Mining with Combined Use of Optimization Techniques and Self-Organizing Maps for Improving Risk Grouping Rules - Application to Prostate Cancer Patients,2005,Journal of Management Information Systems
1299,Plagiarism by Academics - More Complex Than It Seems,2006,Journal of the Association for Information Systems
1300,Plagiarism by Academics: More Complex Than It Seems,2006,Journal of the Association for Information Systems
1305,Research Perspectives - Through Whose Eyes? The Critical Concept of Researcher Perspective,2020,Journal of the Association for Information Systems
1311,An Empirical Investigation of Third-Party Seller Rating Systems in E-Commerce - The Case of buySAFE,2007,Journal of Management Information Systems
1312,How Information Changes Consumer Behavior and How Consumer Behavior Determines Corporate Strategy,2008,Journal of Management Information Systems
1313,"Business Models for Monetizing Internet Applications and Web Sites - Experience, Theory, and Predictions",2009,Journal of Management Information Systems
1314,The Power of Patterns and Pattern Recognition When Developing Information-Based Strategy,2010,Journal of Management Information Systems
1315,"Special Section - Economics, Electronic Commerce, and Competitive Strategy",2001,Journal of Management Information Systems
1316,"Special Issue: Competitive Strategy, Economics, and Information Systems",2004,Journal of Management Information Systems
1317,Special Section - Digital Economy and Information Technology Value,2006,Journal of Management Information Systems
1318,Special Section - Applying Information Economics to Corporate Strategy,2007,Journal of Management Information Systems
1319,When Online Reviews Meet Hyperdifferentiation - A Study of the Craft Beer Industry,2006,Journal of Management Information Systems
1320,Special Issue - Information Economics and Competitive Strategy,2013,Journal of Management Information Systems
1321,Justifying Contingent Information Technology Investments - Balancing the Need for Speed of Action with Certainty Before Action,2003,Journal of Management Information Systems
1322,Newly Vulnerable Markets in an Age of Pure Information Products - An Analysis of Online Music and Online News,2003,Journal of Management Information Systems
1324,Poaching and the Misappropriation of Information - Transaction Risks of Information Exchange,2004,Journal of Management Information Systems
1325,Special Issue - Impact of Information Systems on Market Structure and Function - Developing and Testing Theories,2008,Journal of Management Information Systems
1326,"Special Section - Competitive Strategy, Economics, and Information Systems",2009,Journal of Management Information Systems
1327,"Special Section: Competitive Strategy, Economics, and Information Systems",2010,Journal of Management Information Systems
1328,"Information and Technology - Understanding New Strategies for Firms, Networks, and Markets",2011,Journal of Management Information Systems
1329,Regulation of Digital Businesses with Natural Monopolies or Third-Party Payment Business Models: Antitrust Lessons from the Analysis of Google,2010,Journal of Management Information Systems
1330,Capital One Financial and a decade of experience with newly vulnerable markets: Some propositions concerning the competitive advantage of new entrants,2008,The Journal of Strategic Information Systems
